label,form,ids,note
full_enrolled/by_determined_dx/1_PSP,Parkinson Severity Scale,2,complete
full_enrolled/by_determined_dx/1_PSP,SCOPA,2,complete
full_enrolled/by_determined_dx/1_PSP,Schwab & England,2,complete
full_enrolled/by_determined_dx/1_PSP,Timed Up Go,2,complete
full_enrolled/by_determined_dx/1_PSP,UPDRS 1.2 part 3,0,complete
full_enrolled/by_determined_dx/2_MSA,enrollment,18,
full_enrolled/by_determined_dx/2_MSA,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/2_MSA,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/2_MSA,Apathy Scale,0,complete
full_enrolled/by_determined_dx/2_MSA,BAI,1,complete
full_enrolled/by_determined_dx/2_MSA,BDII,2,complete
full_enrolled/by_determined_dx/2_MSA,Clinical,16,complete
full_enrolled/by_determined_dx/2_MSA,Demographic,17,complete
full_enrolled/by_determined_dx/2_MSA,EHI,4,complete
full_enrolled/by_determined_dx/2_MSA,Epidemiological,18,no_completion_col
full_enrolled/by_determined_dx/2_MSA,Fatigue Severity Scale,0,complete
full_enrolled/by_determined_dx/2_MSA,FrSBe,0,complete
full_enrolled/by_determined_dx/2_MSA,MBIC,3,complete
full_enrolled/by_determined_dx/2_MSA,MBIC (CaPRI),4,complete
full_enrolled/by_determined_dx/2_MSA,MDS-UPDRS,9,complete
full_enrolled/by_determined_dx/2_MSA,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/2_MSA,Medication,16,complete
full_enrolled/by_determined_dx/2_MSA,MoCA,9,complete
full_enrolled/by_determined_dx/2_MSA,MoCA-1,0,complete
full_enrolled/by_determined_dx/2_MSA,MoCA-2,0,complete
full_enrolled/by_determined_dx/2_MSA,Neuropsychological,3,complete
full_enrolled/by_determined_dx/2_MSA,Neuropsychological (CaPRI),1,complete
full_enrolled/by_determined_dx/2_MSA,Neuropsychological V02,0,complete
full_enrolled/by_determined_dx/2_MSA,PDQ 39,4,complete
full_enrolled/by_determined_dx/2_MSA,PDQ 8,0,complete
full_enrolled/by_determined_dx/2_MSA,Parkinson Severity Scale,0,complete
full_enrolled/by_determined_dx/2_MSA,SCOPA,0,complete
full_enrolled/by_determined_dx/2_MSA,Schwab & England,0,complete
full_enrolled/by_determined_dx/2_MSA,Timed Up Go,1,complete
full_enrolled/by_determined_dx/2_MSA,UPDRS 1.2 part 3,1,complete
full_enrolled/by_determined_dx/3_CBS,enrollment,3,
full_enrolled/by_determined_dx/3_CBS,Apathy Evaluation Informant,0,complete
full_enrolled/by_determined_dx/3_CBS,Apathy Evaluation Self,0,complete
full_enrolled/by_determined_dx/3_CBS,Apathy Scale,0,complete
full_enrolled/by_determined_dx/3_CBS,BAI,0,complete
full_enrolled/by_determined_dx/3_CBS,BDII,0,complete
full_enrolled/by_determined_dx/3_CBS,Clinical,3,complete
full_enrolled/by_determined_dx/3_CBS,Demographic,3,complete
full_enrolled/by_determined_dx/3_CBS,EHI,2,complete
full_enrolled/by_determined_dx/3_CBS,Epidemiological,3,no_completion_col
full_enrolled/by_determined_dx/3_CBS,Fatigue Severity Scale,0,complete
full_enrolled/by_determined_dx/3_CBS,FrSBe,0,complete
full_enrolled/by_determined_dx/3_CBS,MBIC,0,complete
full_enrolled/by_determined_dx/3_CBS,MBIC (CaPRI),2,complete
full_enrolled/by_determined_dx/3_CBS,MDS-UPDRS,1,complete
full_enrolled/by_determined_dx/3_CBS,MDS-UPDRS-1,0,complete
full_enrolled/by_determined_dx/3_CBS,Medication,3,complete
full_enrolled/by_determined_dx/3_CBS,MoCA,1,complete
