Form,Grouping,Variable,Type,Test,Statistic,p_value,Significant,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,AP n,AP mean,AP sd,AP median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Mbic Capri,by_enrolment_group,2. Does the person lack curiosity in topics that wou,Categorical,Chi-square,23.0594,1e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,3. Has the person become less spontaneous and active,Categorical,Chi-square,12.8433,0.001626,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,4. Has the person lost the motivation to act on thei,Categorical,Chi-square,26.147,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,5. Is the person less affectionate and/or lacking in,Categorical,Chi-square,16.4906,0.000262,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,7. Has the person developed sadness or appear to be ,Categorical,Chi-square,17.6895,0.000144,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,8. Has the person become less able to experience ple,Categorical,Chi-square,10.9054,0.004285,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,9. Has the person become discouraged about their fut,Categorical,Chi-square,24.7967,4e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,10. Does the person view herself/himself as a burden,Categorical,Chi-square,25.4959,3e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,11. Has the person become unduly anxious or worried ,Categorical,Chi-square,14.779,0.000618,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,"13. Has the person become agitated, aggressive, irri",Categorical,Chi-square,6.1341,0.046559,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,"15. Has the person become more impulsive, seeming to",Categorical,Chi-square,15.1994,0.000501,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,16. Does the person display sexually disinhibited or,Categorical,Chi-square,6.9535,0.030908,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,17. Has the person become more easily frustrated or ,Categorical,Chi-square,10.4049,0.005503,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,"19. Has the person become more stubborn or rigid, i.",Categorical,Chi-square,7.6768,0.021528,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,"20. Is there a change in eating behaviors (e.g., ove",Categorical,Chi-square,13.4158,0.001221,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,21. Does the person no longer find food tasteful or ,Categorical,Chi-square,7.8298,0.019943,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,26. Has the person started talking openly about very,Categorical,Chi-square,20.0037,4.5e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,27. Does the person say rude or crude things or make,Categorical,Chi-square,6.9602,0.030805,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,29. Does the person now talk to strangers as if fami,Categorical,Chi-square,10.6285,0.004921,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,30. Has the person developed beliefs that they are i,Categorical,Chi-square,21.1125,2.6e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,31. Has the person developed suspiciousness about th,Categorical,Chi-square,14.6285,0.000666,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbic Capri,by_enrolment_group,enrolment_group,Categorical,Chi-square,734.0,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_1_1 value,Numeric,Kruskal-Wallis,23.7012,7e-06,Yes,84.0,0.369,0.636,0.0,1292.0,0.728,0.93,0.0,56.0,1.286,1.303,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_1_2 value,Numeric,Kruskal-Wallis,14.5283,0.0007,Yes,84.0,0.012,0.109,0.0,1292.0,0.151,0.454,0.0,56.0,0.304,0.658,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_1_3,Numeric,Kruskal-Wallis,13.3926,0.001235,Yes,84.0,0.321,0.714,0.0,1293.0,0.526,0.849,0.0,56.0,0.911,1.18,0.5,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_1_4 value,Numeric,Kruskal-Wallis,8.581,0.013698,Yes,84.0,0.512,0.752,0.0,1292.0,0.76,0.901,1.0,56.0,1.018,1.183,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_1_5 value,Numeric,Kruskal-Wallis,11.6626,0.002934,Yes,84.0,0.179,0.47,0.0,1290.0,0.479,0.844,0.0,56.0,0.75,1.179,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.C1 Minutes since last levodopa dose:  Minutes depu,Numeric,Kruskal-Wallis,13.8505,0.000198,Yes,1.0,60.0,,60.0,1217.0,142.896,95.667,135.0,38.0,206.579,112.166,202.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_1 value,Numeric,Kruskal-Wallis,101.6387,0.0,Yes,84.0,0.048,0.214,0.0,1475.0,0.809,0.866,1.0,60.0,1.617,1.329,1.5,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_2 value,Numeric,Kruskal-Wallis,122.288,0.0,Yes,84.0,0.048,0.265,0.0,1478.0,1.127,0.935,1.0,60.0,1.317,1.049,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_3_neck value,Numeric,Kruskal-Wallis,80.9007,0.0,Yes,84.0,0.333,0.683,0.0,1471.0,1.343,1.185,1.0,59.0,1.915,1.25,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_3_rue value,Numeric,Kruskal-Wallis,107.6112,0.0,Yes,84.0,0.179,0.47,0.0,1473.0,1.228,0.94,1.0,59.0,1.288,0.948,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_3_lue value,Numeric,Kruskal-Wallis,98.3571,0.0,Yes,84.0,0.179,0.443,0.0,1472.0,1.165,0.944,1.0,59.0,1.407,1.002,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_3_rle value,Numeric,Kruskal-Wallis,82.9751,0.0,Yes,84.0,0.143,0.385,0.0,1472.0,1.066,1.023,1.0,59.0,1.322,0.99,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_3_lle value,Numeric,Kruskal-Wallis,66.158,0.0,Yes,84.0,0.19,0.424,0.0,1472.0,1.025,1.015,1.0,59.0,1.203,1.03,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_4_r value,Numeric,Kruskal-Wallis,124.5212,0.0,Yes,84.0,0.167,0.434,0.0,1478.0,1.371,1.038,1.0,60.0,1.783,1.151,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_4_l value,Numeric,Kruskal-Wallis,139.4357,0.0,Yes,84.0,0.262,0.518,0.0,1478.0,1.484,1.054,1.0,60.0,2.267,1.103,3.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_5_r value,Numeric,Kruskal-Wallis,76.6348,0.0,Yes,83.0,0.241,0.554,0.0,1478.0,1.018,0.943,1.0,60.0,1.483,1.097,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_5_l value,Numeric,Kruskal-Wallis,97.8238,0.0,Yes,84.0,0.214,0.468,0.0,1477.0,1.105,0.998,1.0,60.0,1.783,1.091,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_6_r value,Numeric,Kruskal-Wallis,98.906,0.0,Yes,84.0,0.155,0.396,0.0,1476.0,1.087,0.972,1.0,60.0,1.567,1.11,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_6_l value,Numeric,Kruskal-Wallis,118.1621,0.0,Yes,84.0,0.179,0.443,0.0,1478.0,1.25,1.037,1.0,60.0,1.933,1.191,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_7_r value,Numeric,Kruskal-Wallis,71.0707,0.0,Yes,84.0,0.357,0.739,0.0,1476.0,1.072,1.069,1.0,60.0,1.85,1.191,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_7_l value,Numeric,Kruskal-Wallis,71.9971,0.0,Yes,84.0,0.56,0.855,0.0,1478.0,1.265,1.141,1.0,60.0,2.217,1.121,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_8_r value,Numeric,Kruskal-Wallis,86.1528,0.0,Yes,84.0,0.071,0.259,0.0,1473.0,0.76,0.89,1.0,60.0,1.45,1.185,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_8_l value,Numeric,Kruskal-Wallis,89.1641,0.0,Yes,84.0,0.179,0.47,0.0,1476.0,0.877,0.961,1.0,60.0,1.75,1.174,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_9 value,Numeric,Kruskal-Wallis,62.872,0.0,Yes,84.0,0.095,0.334,0.0,1477.0,0.384,0.74,0.0,60.0,1.283,1.329,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_10 value,Numeric,Kruskal-Wallis,130.7874,0.0,Yes,84.0,0.119,0.326,0.0,1474.0,1.022,0.872,1.0,60.0,1.883,1.236,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_11 value,Numeric,Kruskal-Wallis,31.3881,0.0,Yes,84.0,0.0,0.0,0.0,1478.0,0.118,0.426,0.0,60.0,0.45,0.891,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_12 value,Numeric,Kruskal-Wallis,36.2516,0.0,Yes,84.0,0.131,0.46,0.0,1472.0,0.605,1.01,0.0,59.0,1.373,1.585,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_13 value,Numeric,Kruskal-Wallis,79.6167,0.0,Yes,84.0,0.143,0.352,0.0,1477.0,0.957,0.928,1.0,60.0,1.35,1.273,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_14,Numeric,Kruskal-Wallis,151.3701,0.0,Yes,84.0,0.119,0.326,0.0,1478.0,1.194,0.953,1.0,59.0,2.068,1.143,2.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_15_r value,Numeric,Kruskal-Wallis,34.4235,0.0,Yes,84.0,0.083,0.278,0.0,1474.0,0.501,0.732,0.0,60.0,0.35,0.685,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_15_l value,Numeric,Kruskal-Wallis,35.2424,0.0,Yes,84.0,0.143,0.415,0.0,1478.0,0.537,0.712,0.0,60.0,0.3,0.497,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_16_r value,Numeric,Kruskal-Wallis,32.6354,0.0,Yes,84.0,0.202,0.485,0.0,1477.0,0.577,0.741,0.0,60.0,0.283,0.555,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_16_l value,Numeric,Kruskal-Wallis,30.8379,0.0,Yes,84.0,0.274,0.567,0.0,1477.0,0.695,0.78,1.0,60.0,0.467,0.596,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_17_rue value,Numeric,Kruskal-Wallis,57.6347,0.0,Yes,84.0,0.024,0.153,0.0,1478.0,0.62,0.917,0.0,60.0,0.2,0.605,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_17_lue value,Numeric,Kruskal-Wallis,37.2619,0.0,Yes,84.0,0.06,0.238,0.0,1478.0,0.568,0.842,0.0,60.0,0.35,0.606,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_17_rle value,Numeric,Kruskal-Wallis,10.9536,0.004183,Yes,84.0,0.012,0.109,0.0,1476.0,0.194,0.554,0.0,60.0,0.133,0.43,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_17_lle value,Numeric,Kruskal-Wallis,8.3663,0.01525,Yes,84.0,0.024,0.153,0.0,1478.0,0.156,0.475,0.0,60.0,0.067,0.252,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_17_lipjaw value,Numeric,Kruskal-Wallis,8.796,0.012302,Yes,84.0,0.012,0.109,0.0,1478.0,0.127,0.414,0.0,59.0,0.051,0.222,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_3_18 value,Numeric,Kruskal-Wallis,69.862,0.0,Yes,84.0,0.095,0.368,0.0,1478.0,1.092,1.343,1.0,60.0,0.517,1.033,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_1 value,Numeric,Kruskal-Wallis,46.9296,0.0,Yes,84.0,0.0,0.0,0.0,1287.0,0.461,0.751,0.0,56.0,0.286,0.756,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_2 value,Numeric,Kruskal-Wallis,29.3055,0.0,Yes,84.0,0.0,0.0,0.0,1285.0,0.31,0.71,0.0,57.0,0.053,0.225,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_3 value,Numeric,Kruskal-Wallis,106.3649,0.0,Yes,84.0,0.012,0.109,0.0,1285.0,0.832,0.826,1.0,57.0,0.86,1.329,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_4 value,Numeric,Kruskal-Wallis,73.4383,0.0,Yes,84.0,0.012,0.109,0.0,1285.0,0.911,1.125,1.0,57.0,0.86,1.394,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_5 value,Numeric,Kruskal-Wallis,103.1581,0.0,Yes,84.0,0.012,0.109,0.0,1284.0,0.986,1.133,1.0,57.0,0.737,1.173,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Updrs_4_6 value,Numeric,Kruskal-Wallis,39.0214,0.0,Yes,84.0,0.0,0.0,0.0,1284.0,0.517,0.99,0.0,57.0,0.211,0.559,0.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Part I: Non-Motor Aspects of Experiences of Daily Li,Numeric,Kruskal-Wallis,85.7549,0.0,Yes,83.0,5.217,5.135,4.0,1276.0,10.454,6.165,9.0,56.0,14.357,8.094,12.5,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Part II: Motor Aspects of Experiences of Daily Livin,Numeric,Kruskal-Wallis,224.5685,0.0,Yes,83.0,0.904,1.979,0.0,1277.0,10.496,7.081,9.0,55.0,19.236,11.075,19.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Part III: Motor Examination,Numeric,Kruskal-Wallis,217.2932,0.0,Yes,83.0,5.048,5.693,4.0,1446.0,28.452,14.945,27.0,59.0,39.051,16.406,41.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Part IV: Motor Complications,Numeric,Kruskal-Wallis,128.0404,0.0,Yes,84.0,0.036,0.327,0.0,1274.0,4.036,3.682,4.0,56.0,3.054,3.887,1.0,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Assessment completed by:,Categorical,Chi-square,337.6979,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Is it UPDRS v1.2 (part3) legacy ?  S'agit il d'un hé,Categorical,Chi-square,28.0454,1e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Primary source of information:,Categorical,Chi-square,42.2153,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.1 COGNITIVE IMPAIRMENT,Categorical,Chi-square,44.9452,2e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.2 HALLUCINATIONS AND PSYCHOSIS,Categorical,Chi-square,27.4837,0.000583,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.3 DEPRESSED MOOD,Categorical,Chi-square,27.2476,0.002379,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.4 ANXIOUS MOOD,Categorical,Chi-square,21.3278,0.01892,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.5 APATHY,Categorical,Chi-square,33.8911,0.000193,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.6 FEATURES OF DOPAMINE DYSREGULATION SYNDROME,Categorical,Chi-square,19.6907,0.032317,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,Who is filling out this questionnaire (check the bes,Categorical,Chi-square,48.7672,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.7 SLEEP PROBLEMS/PROBLEMES DE SOMMEIL  Over the pa,Categorical,Chi-square,19.4215,0.012761,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.8 DAYTIME SLEEPINESS/SOMNOLENCE DIURNE  Over the p,Categorical,Chi-square,63.9563,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.9 PAIN AND OTHER SENSATIONS/DOULEUR ET AUTRES SENS,Categorical,Chi-square,50.8919,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.10 URINARY PROBLEMS/PROBLEMES URINAIRES  Over the ,Categorical,Chi-square,88.798,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.11 CONSTIPATION PROBLEMS/PROBLEMES DE CONSTIPATION,Categorical,Chi-square,72.3228,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,1.12 LIGHT HEADEDNESS ON STANDING/SENSATION DE TETE ,Categorical,Chi-square,42.7365,1e-06,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"1.13 FATIGUE  Over the past week, have you usually f",Categorical,Chi-square,73.2033,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.1 SPEECH  Over the past week, have you had problem",Categorical,Chi-square,117.9026,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.2 SALIVA & DROOLING  Over the past week, have you ",Categorical,Chi-square,75.3586,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.3 CHEWING AND SWALLOWING  Over the past week, have",Categorical,Chi-square,52.0989,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.4 EATING TASKS  Over the past week, have you usual",Categorical,Chi-square,120.7909,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.5 DRESSING  Over the past week, have you usually h",Categorical,Chi-square,168.6915,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.6 HYGIENE  Over the past week, have you usually be",Categorical,Chi-square,136.1552,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.7 HANDWRITING  Over the past week, have people usu",Categorical,Chi-square,195.6427,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,2.8 DOING HOBBIES AND OTHER ACTIVITIES  Over the pas,Categorical,Chi-square,145.781,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.9 TURNING IN BED  Over the past week, do you usual",Categorical,Chi-square,115.5337,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.10 TREMOR  Over the past week, have you usually ha",Categorical,Chi-square,227.5225,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.11 GETTING OUT OF BED, A CAR, OR A DEEP CHAIR  Ove",Categorical,Chi-square,185.7346,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.12 WALKING AND BALANCE  Over the past week, have y",Categorical,Chi-square,248.8245,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,"2.13 FREEZING  Over the past week, on your usual day",Categorical,Chi-square,100.0289,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3a Is the patient on medication for treating the sym,Categorical,Chi-square,628.6489,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3b If the patient is receiving medication for treati,Categorical,Chi-square,631.5631,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3c Is the patient on Levodopa ?,Categorical,Chi-square,584.7707,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.1 SPEECH,Categorical,Chi-square,190.6086,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.2 FACIAL EXPRESSION,Categorical,Chi-square,170.1091,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.3 RIGIDITY- NECK,Categorical,Chi-square,105.0365,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.3 RIGIDITY- RUE,Categorical,Chi-square,143.4254,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.3 RIGIDITY- LUE,Categorical,Chi-square,134.7798,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.3 RIGIDITY- RLE,Categorical,Chi-square,101.1703,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.3 RIGIDITY- LLE,Categorical,Chi-square,83.8609,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.4 FINGER TAPPING- R,Categorical,Chi-square,176.3793,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.4 FINGER TAPPING- L,Categorical,Chi-square,201.5379,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.5 HAND MOVEMENTS- R,Categorical,Chi-square,102.6659,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.5 HAND MOVEMENTS- L,Categorical,Chi-square,117.8571,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS - R,Categorical,Chi-square,122.286,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS- L,Categorical,Chi-square,162.112,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.7 TOE TAPPING - R,Categorical,Chi-square,124.9532,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.7 TOE TAPPING - L,Categorical,Chi-square,122.7062,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.8 LEG AGILITY - R,Categorical,Chi-square,112.7232,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.8 LEG AGILITY - L,Categorical,Chi-square,114.2526,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.9 ARISING FROM CHAIR,Categorical,Chi-square,129.0312,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.10 GAIT,Categorical,Chi-square,302.783,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.11 FREEZING OF GAIT,Categorical,Chi-square,57.7245,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.12 POSTURAL STABILITY,Categorical,Chi-square,118.7785,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.13 POSTURE,Categorical,Chi-square,158.4453,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.14 GLOBAL SPONTANEITY OF MOVEMENT (BODY BRADYKINES,Categorical,Chi-square,231.0675,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.15 POSTURAL TREMOR OF THE HANDS - R,Categorical,Chi-square,37.2078,5.2e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mds Updrs,by_enrolment_group,3.15 POSTURAL TREMOR OF THE HANDS - L,Categorical,Chi-square,37.8231,4.1e-05,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
