Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Composite_Scores,Mbic  Capri,determined_dx,Beliefs/Sensory Experiences (sum of Question 30-34),6.4458,0.011122,0.0178,0.033366,Yes,,,,,,,,,303,0.145,0.526,0.0,,,,,,,,,,,,,5.0,1.2,1.789,0.0,,,,
Composite_Scores,Mds Updrs,determined_dx,Part I: Non-Motor Aspects of Experiences of Daily Li,16.125,0.002856,0.0095,0.003808,Yes,,,,,,,,,1237,10.452,6.105,9.0,8.0,16.5,11.019,11.5,,,,,7.0,15.714,4.192,17.0,20.0,14.0,6.164,12.5,6.0,13.167,12.465,7.0
Composite_Scores,Mds Updrs,determined_dx,Part II: Motor Aspects of Experiences of Daily Livin,52.7114,0.0,0.0383,0.0,Yes,,,,,,,,,1237,10.549,7.087,9.0,8.0,16.75,9.982,16.0,,,,,7.0,21.714,9.069,22.0,20.0,26.05,9.578,25.5,6.0,8.167,9.579,5.5
Composite_Scores,Mds Updrs,determined_dx,Part III: Motor Examination,45.1761,0.0,0.0285,0.0,Yes,,,,,,,,,1405,28.372,14.857,26.0,8.0,45.5,21.024,46.5,,,,,8.0,43.125,13.789,44.5,21.0,47.333,12.551,47.0,6.0,19.0,14.656,12.5
Composite_Scores,Mds Updrs,determined_dx,Part IV: Motor Complications,9.7938,0.044049,0.0046,0.044049,Yes,,,,,,,,,1232,4.05,3.682,4.0,8.0,1.625,3.815,0.0,,,,,7.0,2.857,3.934,0.0,19.0,3.368,3.847,2.0,6.0,1.5,3.209,0.0
Composite_Scores,Moca,determined_dx,TOTAL SCORE (make sure to include extra point for 12,22.2625,0.000467,0.0115,0.000467,Yes,,,,,,,,,1456,25.099,5.162,26.0,8.0,22.625,3.204,24.0,5.0,25.6,2.191,27.0,9.0,25.222,6.496,27.0,23.0,21.261,5.879,23.0,6.0,27.5,2.429,28.5
Composite_Scores,Moca,determined_dx,Make sure total score and calculation of total score,28.181,3.4e-05,0.0155,6.8e-05,Yes,,,,,,,,,1454,25.594,3.305,26.0,8.0,22.125,3.044,23.0,6.0,24.667,2.582,25.5,9.0,25.111,6.431,27.0,23.0,21.043,5.842,23.0,6.0,27.5,2.429,28.5
Composite_Scores,Pdq 39,determined_dx,PDQ-39 Mobility (Raw Score),16.4031,0.000937,0.0323,0.004216,Yes,,,,,,,,,400,8.67,8.716,6.0,7.0,13.143,12.253,9.0,5.0,2.8,2.775,3.0,,,,,7.0,24.0,8.926,26.0,,,,
Composite_Scores,Pdq 39,determined_dx,PDQ-39 Mobility (Scale Score),16.4031,0.000937,0.0323,0.004216,Yes,,,,,,,,,400,21.675,21.79,15.0,7.0,32.857,30.633,22.5,5.0,7.0,6.937,7.5,,,,,7.0,60.0,22.314,65.0,,,,
Composite_Scores,Pdq 39,determined_dx,PDQ-39 Communication (Raw Score),18.082,0.000423,0.0364,0.003933,Yes,,,,,,,,,399,2.241,2.277,2.0,7.0,3.857,2.116,4.0,5.0,3.2,4.604,0.0,,,,,7.0,6.571,2.225,6.0,,,,
